DateTime , Elasped_Time(sec) , CH 5 , CH 6 , CH 7 , CH 8 , CH 8-2 , CH 8-3 , CH 9 , CH 10 
2020-05-07 01-12-27 ,1,98.7,48.8,0,-3111.75,341.07,0,0,0
2020-05-07 01-12-28 ,2,94,114.4,0,-3108.83,343.99,2.92,2.92,0
2020-05-07 01-12-29 ,3,96.9,122.9,0,-3102.81,350.01,8.94,6.02,0
2020-05-07 01-12-30 ,4,96.7,71.2,0,-3101.25,351.57,10.5,1.56,0
2020-05-07 01-12-31 ,5,91.2,50.3,0,-3100.59,352.23,11.16,0.66,0
2020-05-07 01-12-32 ,6,93.1,42,0,-3100.02,352.8,11.73,0.57,0
2020-05-07 01-12-33 ,7,97.1,37.5,0,-3100.18,352.64,11.73,0,0
2020-05-07 01-12-34 ,8,96.6,34.8,0,-3099.14,353.68,12.77,1.04,0
2020-05-07 01-12-35 ,9,94.7,52.3,0,-3097.97,354.85,13.94,1.17,0
2020-05-07 01-12-36 ,10,92.5,91.5,0,-3096.23,356.59,15.68,1.74,0
2020-05-07 01-12-37 ,11,92.9,96.9,0,-3093.68,359.14,18.23,2.55,0
2020-05-07 01-12-38 ,12,95.1,100.6,0,-3092.63,360.19,19.28,1.05,0
2020-05-07 01-12-39 ,13,97,107,0,-3090.88,361.94,21.03,1.75,0
2020-05-07 01-12-40 ,14,98.8,114.4,0,-3089.14,363.68,22.77,1.74,0
2020-05-07 01-12-41 ,15,97.9,123.9,0,-3086.44,366.38,25.47,2.7,0
2020-05-07 01-12-42 ,16,97.6,134.4,0,-3082.49,370.33,29.42,3.95,0
2020-05-07 01-12-43 ,17,100.6,141.2,0,-3079.42,373.4,32.49,3.07,0
2020-05-07 01-12-44 ,18,101.9,141.3,0,-3076.69,376.13,35.22,2.73,0
2020-05-07 01-12-45 ,19,103.1,141.6,0,-3074.48,378.34,37.43,2.21,0
2020-05-07 01-12-46 ,20,100.5,141.8,0,-3071.8,381.02,40.11,2.68,0
2020-05-07 01-12-47 ,21,97.9,141.8,0,-3071.43,381.39,40.48,0.37,0
2020-05-07 01-12-48 ,22,98.2,141.8,0,-3069.81,383.01,42.1,1.62,0
2020-05-07 01-12-49 ,23,99.8,142,0,-3068.52,384.3,43.39,1.29,0
2020-05-07 01-12-50 ,24,105.8,141.9,0,-3065.79,387.03,46.12,2.73,0
2020-05-07 01-12-51 ,25,105.4,142.1,0,-3065.05,387.77,46.86,0.74,0
2020-05-07 01-12-52 ,26,100.5,142.2,0,-3065.12,387.7,46.86,0,0
2020-05-07 01-12-53 ,27,101.5,142.2,0,-3064.3,388.52,47.68,0.82,0
2020-05-07 01-12-54 ,28,101.5,141.9,0,-3063.39,389.43,48.59,0.91,0
2020-05-07 01-12-55 ,29,103.9,141.7,0,-3062.08,390.74,49.9,1.31,0
2020-05-07 01-12-56 ,30,104.8,141.7,0,-3060.85,391.97,51.13,1.23,0
2020-05-07 01-12-57 ,31,101.5,141.9,0,-3060.41,392.41,51.57,0.44,0
2020-05-07 01-12-58 ,32,100.9,141.7,0,-3058.3,394.52,53.68,2.11,0
2020-05-07 01-12-59 ,33,100,141.4,0,-3055.26,397.56,56.72,3.04,0
2020-05-07 01-13-00 ,34,102.5,141.2,0,-3053.18,399.64,58.8,2.08,0
2020-05-07 01-13-01 ,35,103.9,141.3,0,-3052.56,400.26,59.42,0.62,0
2020-05-07 01-13-02 ,36,100.3,141.6,0,-3051.35,401.47,60.63,1.21,0
2020-05-07 01-13-03 ,37,101.4,141.2,0,-3050.58,402.24,61.4,0.77,0
2020-05-07 01-13-04 ,38,98.9,141.1,0,-3048.66,404.16,63.32,1.92,0
2020-05-07 01-13-05 ,39,100,141.1,0,-3048.36,404.46,63.62,0.3,0
2020-05-07 01-13-06 ,40,102.4,141.1,0,-3047.21,405.61,64.77,1.15,0
2020-05-07 01-13-07 ,41,99.4,141.3,0,-3044.55,408.27,67.43,2.66,0
2020-05-07 01-13-08 ,42,99.2,141.1,0,-3044.39,408.43,67.59,0.16,0
2020-05-07 01-13-09 ,43,102.7,140.9,0,-3043.22,409.6,68.76,1.17,0
2020-05-07 01-13-10 ,44,102.2,140.9,0,-3042.04,410.78,69.94,1.18,0
2020-05-07 01-13-11 ,45,104.7,141.9,0,-3039.87,412.95,72.11,2.17,0
2020-05-07 01-13-12 ,46,104.1,143.2,0,-3037.7,415.12,74.28,2.17,0
2020-05-07 01-13-13 ,47,100.6,144.5,0,-3037.25,415.57,74.73,0.45,0
2020-05-07 01-13-14 ,48,102.4,145.4,0,-3034.94,417.88,77.04,2.31,0
2020-05-07 01-13-15 ,49,102.5,146.8,0,-3032.88,419.94,79.1,2.06,0
2020-05-07 01-13-16 ,50,103.9,146.8,0,-3031.52,421.3,80.46,1.36,0
2020-05-07 01-13-17 ,51,104.7,146.4,0,-3029.87,422.95,82.11,1.65,0
2020-05-07 01-13-18 ,52,99.6,144.1,0,-3030.08,422.74,82.11,0,0
2020-05-07 01-13-19 ,53,100.4,143.2,0,-3029.28,423.54,82.91,0.8,0
2020-05-07 01-13-20 ,54,99.8,143.1,0,-3027.27,425.55,84.92,2.01,0
2020-05-07 01-13-21 ,55,101,142.8,0,-3025.16,427.66,87.03,2.11,0
