timestamp,position,rotation,feed,velocity,grade
2020-05-18 20-12-07 ,3720.15,204.6,217.3,7.12,1
2020-05-18 20-12-08 ,3728.28,213.3,239.2,8.13,1
2020-05-18 20-12-09 ,3740.12,223.6,269.1,11.84,1
2020-05-18 20-12-10 ,3745.51,221.6,271.1,5.39,1
2020-05-18 20-12-11 ,3750.32,218.9,271.4,4.81,1
2020-05-18 20-12-12 ,3754.88,223.2,271.9,4.56,1
2020-05-18 20-12-13 ,3759.16,227.8,271.9,4.28,1
2020-05-18 20-12-14 ,3761.44,225.3,272.3,2.28,1
2020-05-18 20-12-15 ,3764.74,224.1,272.3,3.3,1
2020-05-18 20-12-16 ,3767.08,221.1,272.4,2.34,1
2020-05-18 20-12-17 ,3770.59,223.4,272.6,3.51,1
2020-05-18 20-12-18 ,3772.91,220.4,273,2.32,1
2020-05-18 20-12-19 ,3773.83,218.3,273,0.92,1
2020-05-18 20-12-20 ,3775.91,228.1,273,2.08,1
2020-05-18 20-12-21 ,3778.33,223.4,273,2.42,1
2020-05-18 20-12-22 ,3780.62,223.3,273.1,2.29,1
2020-05-18 20-12-23 ,3782.16,219.4,273.1,1.54,1
2020-05-18 20-12-24 ,3784.79,220.1,273,2.63,1
2020-05-18 20-12-25 ,3786.83,218.2,273.1,2.04,1
2020-05-18 20-12-26 ,3788.77,216.2,273,1.94,1
2020-05-18 20-12-27 ,3790.55,221.5,272.8,1.78,1
2020-05-18 20-12-28 ,3792.07,227.3,272.8,1.52,1
2020-05-18 20-12-29 ,3793.05,226.7,272.5,0.98,1
2020-05-18 20-12-30 ,3795.69,225,272.3,2.64,1
2020-05-18 20-12-31 ,3798.38,220.5,272.2,2.69,1
2020-05-18 20-12-32 ,3799.71,224.6,272.2,1.33,1
2020-05-18 20-12-33 ,3800.62,224.5,272.5,0.91,1
2020-05-18 20-12-34 ,3801.35,221.4,272.6,0.73,1
2020-05-18 20-12-35 ,3802.68,224.4,272.7,1.33,1
2020-05-18 20-12-36 ,3804.25,225.5,272.3,1.57,1
2020-05-18 20-12-37 ,3805.7,224.4,272.3,1.45,1
2020-05-18 20-12-38 ,3809.41,224.8,272.3,3.71,1
2020-05-18 20-12-39 ,3810.41,224.1,272.2,1,1
2020-05-18 20-12-40 ,3812.02,224.7,272.2,1.61,1
2020-05-18 20-12-41 ,3814.67,221.3,272.1,2.65,1
2020-05-18 20-12-42 ,3815.8,220,272,1.13,1
2020-05-18 20-12-43 ,3816.75,223.8,272.2,0.95,1
