id,position,grade
0,3720.15,1.0
1,3728.28,1.0
2,3740.12,1.0
3,3745.51,1.0
4,3750.32,1.0
5,3754.88,1.0
6,3759.16,1.0
7,3761.44,1.0
8,3764.74,1.0
9,3767.08,1.0
10,3770.59,1.0
11,3772.91,1.0
12,3773.83,1.0
13,3775.91,1.0
14,3778.33,1.0
15,3780.62,1.0
16,3782.16,1.0
17,3784.79,1.0
18,3786.83,1.0
19,3788.77,1.0
20,3790.55,1.0
21,3792.07,1.0
22,3793.05,1.0
23,3795.69,1.0
24,3798.38,1.0
25,3799.71,1.0
26,3800.62,1.0
27,3801.35,1.0
28,3802.68,1.0
29,3804.25,1.0
30,3805.7,1.0
31,3809.41,1.0
32,3810.41,1.0
33,3812.02,1.0
34,3814.67,1.0
35,3815.8,1.0
36,3816.75,1.0
37,3817.93,1.0
38,3819.13,1.0
39,3820.48,1.0
40,3822.03,1.0
41,3823.69,1.0
42,3825.26,1.0
43,3826.89,1.0
44,3827.95,1.0
45,3829.2,1.0
46,3830.37,1.0
47,3832.58,1.0
48,3834.37,1.0
49,3835.4,1.0
50,3837.48,1.0
51,3838.66,1.0
52,3838.56,1.0
53,3839.11,1.0
54,3841.64,1.0
55,3842.65,1.0
56,3845.33,1.0
57,3846.5,1.0
58,3848.47,1.0
59,3849.78,1.0
60,3851.08,1.0
61,3852.68,1.0
62,3853.27,1.0
63,3855.26,1.0
64,3856.0,1.0
65,3856.93,1.0
66,3857.64,1.0
67,3858.82,1.0
68,3859.74,1.0
69,3859.42,1.0
70,3862.34,1.0
71,3864.07,1.0
72,3865.52,1.0
73,3866.95,1.0
74,3867.74,1.0
75,3868.94,1.0
76,3870.27,1.0
77,3870.98,1.0
78,3870.99,1.0
79,3871.24,1.0
80,3873.51,1.0
81,3876.46,1.0
82,3877.44,1.0
83,3876.76,1.0
84,3878.83,1.0
85,3879.46,1.0
86,3881.66,1.0
87,3884.71,1.0
88,3885.2,1.0
89,3886.77,1.0
90,3888.57,1.0
91,3890.26,1.0
92,3891.48,1.0
93,3892.21,1.0
94,3892.83,1.0
95,3893.8,1.0
96,3895.43,1.0
97,3896.34,1.0
98,3896.61,1.0
99,3898.31,1.0
100,3900.77,1.0
101,3902.38,1.0
102,3905.48,1.0
103,3906.9,1.0
104,3909.46,1.0
105,3911.36,1.0
106,3912.61,1.0
107,3913.52,1.0
108,3914.27,1.0
109,3917.65,1.0
110,3919.29,1.0
111,3920.81,1.0
112,3922.45,1.0
113,3924.14,1.0
114,3926.2,1.0
115,3927.59,1.0
116,3929.53,1.0
117,3931.65,1.0
118,3934.02,1.0
119,3936.19,1.0
120,3940.03,1.0
121,3942.69,1.0
122,3944.35,1.0
123,3946.77,1.0
124,3947.54,1.0
125,3948.6,1.0
126,3952.25,1.0
127,3953.87,1.0
128,3956.23,1.0
129,3959.15,1.0
130,3960.66,1.0
131,3961.27,1.0
132,3966.42,1.0
133,3968.3,1.0
134,3969.29,1.0
135,3970.63,1.0
136,3972.09,1.0
137,3973.69,1.0
138,3975.75,1.0
139,3976.93,1.0
140,3978.81,1.0
141,3980.02,1.0
142,3982.04,1.0
143,3982.81,1.0
144,3983.15,1.0
145,3984.83,1.0
146,3987.07,1.0
147,3990.64,1.0
148,3991.63,1.0
149,3992.41,1.0
150,3994.78,1.0
151,3996.58,1.0
152,3997.4,1.0
153,3998.47,1.0
154,4000.22,1.0
155,4002.77,1.0
156,4004.09,1.0
157,4006.26,1.0
158,4005.74,1.0
159,4007.66,1.0
160,4008.57,1.0
161,4009.83,1.0
162,4010.23,1.0
163,4010.49,1.0
164,4011.56,1.0
165,4015.77,1.0
166,4016.52,1.0
167,4016.21,1.0
168,4017.67,1.0
169,4019.38,1.0
170,4020.54,1.0
171,4021.99,1.0
172,4024.23,1.0
173,4025.2,1.0
174,4027.28,1.0
175,4028.67,1.0
176,4029.66,1.0
177,4030.68,1.0
178,4032.82,1.0
179,4035.2,1.0
180,4035.12,1.0
181,4036.63,1.0
182,4037.83,1.0
183,4039.16,1.0
184,4039.83,1.0
185,4043.17,1.0
186,4044.8,1.0
187,4046.81,1.0
188,4049.15,1.0
189,4050.68,1.0
190,4052.0,1.0
191,4054.61,1.0
192,4055.63,1.0
193,4058.89,1.0
194,4059.4,1.0
195,4060.71,1.0
196,4061.66,1.0
197,4064.87,1.0
198,4066.2,1.0
199,4066.54,1.0
200,4067.54,1.0
201,4070.42,1.0
202,4072.29,1.0
203,4073.84,1.0
204,4075.32,1.0
205,4076.29,1.0
206,4078.48,1.0
207,4079.33,1.0
208,4080.87,1.0
209,4084.65,1.0
210,4085.18,1.0
211,4086.59,1.0
212,4088.17,1.0
213,4089.47,1.0
214,4089.93,1.0
215,4091.23,1.0
216,4093.49,1.0
217,4094.93,1.0
218,4096.18,1.0
219,4097.32,1.0
220,4099.1,1.0
221,4100.69,1.0
222,4100.8,1.0
223,4101.03,1.0
224,4104.07,1.0
225,4105.4,1.0
226,4105.84,1.0
227,4106.14,1.0
228,4107.48,1.0
229,4109.67,1.0
230,4112.05,1.0
231,4111.91,1.0
232,4114.41,1.0
233,4116.65,1.0
234,4117.81,1.0
235,4120.5,1.0
236,4120.4,1.0
237,4121.03,1.0
238,4122.82,1.0
239,4124.59,1.0
240,4126.29,1.0
241,4127.31,1.0
242,4129.36,1.0
243,4131.88,1.0
244,4134.07,1.0
245,4135.49,1.0
246,4136.14,1.0
247,4137.45,1.0
248,4139.58,1.0
249,4142.0,1.0
250,4143.46,1.0
251,4144.22,1.0
252,4144.86,1.0
253,4146.84,1.0
254,4149.03,1.0
255,4149.46,1.0
256,4151.34,1.0
257,4153.92,1.0
258,4156.4,1.0
259,4157.52,1.0
260,4158.52,1.0
261,4160.97,1.0
262,4162.54,1.0
263,4163.85,1.0
264,4165.8,1.0
265,4166.44,1.0
266,4168.09,1.0
267,4169.18,1.0
268,4171.62,1.0
269,4173.8,1.0
270,4175.62,1.0
271,4176.81,1.0
272,4178.75,1.0
273,4179.5,1.0
274,4180.69,1.0
275,4181.74,1.0
276,4182.92,1.0
277,4184.24,1.0
278,4185.33,1.0
279,4186.16,1.0
280,4188.83,1.0
281,4191.65,1.0
282,4192.11,1.0
283,4193.86,1.0
284,4194.93,1.0
285,4197.54,1.0
286,4199.3,1.0
287,4201.82,1.0
288,4202.42,1.0
289,4203.85,1.0
290,4204.77,1.0
291,4206.65,1.0
292,4207.34,1.0
293,4208.76,1.0
294,4209.79,1.0
295,4210.56,1.0
296,4212.9,1.0
297,4214.13,1.0
298,4215.39,1.0
299,4217.93,1.0
300,4220.1,1.0
301,4220.58,1.0
302,4220.75,1.0
303,4224.44,1.0
304,4226.69,1.0
305,4226.16,1.0
306,4227.15,1.0
307,4228.43,1.0
308,4230.17,1.0
309,4231.86,1.0
310,4233.02,1.0
311,4233.48,1.0
312,4237.03,1.0
313,4239.99,1.0
314,4240.97,1.0
315,4241.5,1.0
316,4241.66,1.0
317,4244.38,1.0
318,4245.9,1.0
319,4248.35,1.0
320,4249.9,1.0
321,4251.48,1.0
322,4251.98,1.0
323,4252.33,1.0
324,4254.08,1.0
325,4255.59,1.0
326,4258.5,1.0
327,4261.0,1.0
328,4263.69,1.0
329,4266.41,1.0
330,4267.88,1.0
331,4268.57,1.0
332,4269.5,1.0
333,4270.39,1.0
334,4271.23,1.0
335,4273.64,1.0
336,4275.92,1.0
337,4277.59,1.0
338,4278.74,1.0
339,4280.61,1.0
340,4282.94,1.0
341,4285.95,1.0
342,4286.91,1.0
343,4287.48,1.0
344,4291.39,1.0
345,4292.2,1.0
346,4293.69,1.0
347,4295.46,1.0
348,4297.21,1.0
349,4297.62,1.0
350,4298.7,1.0
351,4300.03,1.0
352,4302.21,1.0
353,4303.75,1.0
354,4305.88,1.0
355,4308.97,1.0
356,4310.85,1.0
357,4312.27,1.0
358,4311.88,1.0
359,4313.0,1.0
360,4314.71,1.0
361,4316.52,1.0
362,4318.24,1.0
363,4319.15,1.0
364,4320.4,1.0
365,4321.91,1.0
366,4323.2,1.0
367,4323.12,1.0
368,4325.46,1.0
369,4328.2,1.0
370,4329.58,1.0
371,4330.4,1.0
372,4331.28,1.0
373,4333.96,1.0
374,4335.2,1.0
375,4336.35,1.0
376,4337.05,1.0
377,4337.71,1.0
378,4339.98,1.0
379,4342.53,1.0
380,4344.5,1.0
381,4344.43,1.0
382,4345.24,1.0
383,4347.55,1.0
384,4349.96,1.0
385,4352.24,1.0
386,4352.7,1.0
387,4353.11,1.0
388,4354.95,1.0
389,4356.64,1.0
390,4357.09,1.0
391,4358.99,1.0
392,4360.26,1.0
393,4363.21,1.0
394,4364.75,1.0
395,4365.48,1.0
396,4367.43,1.0
397,4369.22,1.0
398,4370.67,1.0
399,4372.13,1.0
400,4372.79,1.0
401,4374.37,1.0
402,4375.63,1.0
403,4376.57,1.0
404,4376.39,1.0
405,4378.19,1.0
406,4380.12,1.0
407,4382.1,1.0
408,4383.7,1.0
409,4384.71,1.0
410,4386.27,1.0
411,4388.46,1.0
412,4390.79,1.0
413,4392.33,1.0
414,4393.03,1.0
415,4394.02,1.0
416,4395.71,1.0
417,4398.25,1.0
418,4399.06,1.0
419,4402.71,1.0
420,4404.72,1.0
421,4406.25,1.0
422,4407.26,1.0
423,4408.98,1.0
424,4410.8,1.0
425,4412.06,1.0
426,4413.31,1.0
427,4414.88,1.0
428,4417.44,1.0
429,4418.82,1.0
430,4419.36,1.0
431,4420.32,1.0
432,4422.48,1.0
433,4423.98,1.0
434,4424.51,1.0
435,4427.18,1.0
436,4430.76,1.0
437,4432.6,1.0
438,4433.89,1.0
439,4434.48,1.0
440,4436.93,1.0
441,4438.8,1.0
442,4439.31,1.0
443,4441.25,1.0
444,4441.43,1.0
445,4442.22,1.0
446,4443.2,1.0
447,4443.23,1.0
448,4443.41,1.0
449,4444.09,1.0
450,4445.65,1.0
451,4448.23,1.0
452,4451.01,1.0
453,4453.66,1.0
454,4454.75,1.0
455,4457.34,1.0
456,4457.89,1.0
457,4459.23,1.0
458,4459.45,1.0
459,4459.69,1.0
460,4461.78,1.0
461,4464.48,1.0
462,4465.49,1.0
463,4466.54,1.0
464,4466.68,1.0
465,4469.86,1.0
466,4471.88,1.0
467,4472.86,1.0
468,4475.87,1.0
469,4476.74,1.0
470,4477.71,1.0
471,4478.47,1.0
472,4478.95,1.0
473,4478.72,1.0
474,4481.46,1.0
475,4483.4,1.0
476,4484.49,1.0
477,4484.76,1.0
478,4486.29,1.0
479,4489.68,1.0
480,4490.73,1.0
481,4491.96,1.0
482,4491.54,1.0
483,4493.58,1.0
484,4496.0,1.0
485,4496.05,1.0
486,4496.57,1.0
487,4496.93,1.0
488,4499.8,1.0
489,4500.99,1.0
490,4502.75,1.0
491,4504.08,1.0
492,4505.4,1.0
493,4506.62,1.0
494,4508.8,1.0
495,4510.5,1.0
496,4510.51,1.0
497,4511.89,1.0
498,4513.61,1.0
499,4516.45,1.0
500,4517.64,1.0
501,4516.95,1.0
502,4519.26,1.0
503,4520.05,1.0
504,4521.63,1.0
505,4523.18,1.0
506,4524.1,1.0
507,4525.97,1.0
508,4528.31,1.0
509,4528.57,1.0
510,4528.96,1.0
511,4530.8,1.0
512,4532.48,1.0
513,4533.48,1.0
514,4532.96,1.0
515,4534.65,1.0
516,4536.85,1.0
517,4538.55,1.0
518,4540.43,1.0
519,4540.59,1.0
520,4542.2,1.0
521,4545.26,1.0
522,4547.06,1.0
523,4548.04,1.0
524,4548.06,1.0
525,4550.29,1.0
526,4551.87,1.0
527,4552.84,1.0
528,4553.02,1.0
529,4553.65,1.0
530,4556.22,1.0
531,4557.7,1.0
532,4559.41,1.0
533,4560.04,1.0
534,4562.46,1.0
535,4564.61,1.0
536,4566.3,1.0
537,4567.5,1.0
538,4567.79,1.0
539,4569.11,1.0
540,4570.89,1.0
541,4572.02,1.0
542,4572.54,1.0
543,4573.81,1.0
544,4575.24,1.0
545,4576.76,1.0
546,4578.22,1.0
547,4579.4,1.0
548,4581.63,1.0
549,4583.52,1.0
550,4584.77,1.0
551,4585.97,1.0
552,4587.05,1.0
553,4588.23,1.0
554,4589.56,1.0
555,4590.85,1.0
556,4590.97,1.0
557,4593.41,1.0
558,4594.5,1.0
559,4596.72,1.0
560,4598.18,1.0
561,4599.37,1.0
562,4600.75,1.0
563,4602.98,1.0
564,4605.27,1.0
565,4606.59,1.0
566,4608.16,1.0
567,4609.85,1.0
568,4611.04,1.0
569,4611.96,1.0
570,4613.31,1.0
571,4614.95,1.0
572,4616.77,1.0
573,4618.59,1.0
574,4619.78,1.0
575,4620.16,1.0
576,4622.27,1.0
577,4622.74,1.0
578,4624.0,1.0
579,4623.77,1.0
580,4625.42,1.0
581,4625.89,1.0
582,4628.68,1.0
583,4628.54,1.0
584,4631.22,1.0
585,4631.94,1.0
586,4633.39,1.0
587,4634.32,1.0
588,4636.41,1.0
589,4639.31,1.0
590,4640.19,1.0
591,4642.2,1.0
592,4643.32,1.0
593,4646.29,1.0
594,4647.11,1.0
595,4648.3,1.0
596,4649.86,1.0
597,4649.88,1.0
598,4650.33,1.0
599,4651.3,1.0
600,4654.78,1.0
601,4656.49,1.0
602,4656.34,1.0
603,4659.0,1.0
604,4659.63,1.0
605,4660.75,1.0
606,4662.58,1.0
607,4663.85,1.0
608,4665.2,1.0
609,4665.64,1.0
610,4668.18,1.0
611,4669.25,1.0
612,4670.16,1.0
613,4670.39,1.0
614,4671.48,1.0
615,4673.44,1.0
616,4676.23,1.0
617,4678.03,1.0
618,4679.03,1.0
619,4679.9,1.0
620,4680.96,1.0
621,4682.58,1.0
622,4685.04,1.0
623,4685.77,1.0
624,4685.67,1.0
625,4687.66,1.0
626,4689.36,1.0
627,4690.29,1.0
628,4692.15,1.0
629,4693.12,1.0
630,4695.87,1.0
631,4696.6,1.0
632,4697.3,1.0
633,4699.04,1.0
634,4700.12,1.0
635,4702.11,1.0
636,4703.34,1.0
637,4703.92,1.0
638,4705.4,1.0
639,4706.6,1.0
640,4709.41,1.0
641,4710.33,1.0
642,4711.31,1.0
643,4712.37,1.0
644,4714.83,1.0
645,4717.65,1.0
646,4719.73,1.0
647,4720.74,1.0
648,4722.43,1.0
649,4723.97,1.0
650,4726.09,1.0
651,4725.57,1.0
652,4726.07,1.0
653,4728.37,1.0
654,4732.38,1.0
655,4733.7,1.0
656,4733.9,1.0
657,4734.64,1.0
658,4738.84,1.0
659,4741.54,1.0
660,4742.81,1.0
661,4744.0,1.0
662,4743.79,1.0
663,4746.26,1.0
664,4747.84,1.0
665,4748.29,1.0
666,4749.45,1.0
667,4752.29,1.0
668,4754.34,1.0
669,4754.8,1.0
670,4755.35,1.0
671,4757.58,1.0
672,4761.07,1.0
673,4764.66,1.0
674,4764.45,1.0
675,4765.4,1.0
676,4767.53,1.0
677,4769.76,1.0
678,4769.94,1.0
679,4770.83,1.0
680,4772.08,1.0
681,4773.51,1.0
682,4773.38,1.0
683,4774.13,1.0
684,4776.03,1.0
685,4776.49,1.0
686,4779.24,1.0
687,4781.27,1.0
688,4783.41,1.0
689,4784.63,1.0
690,4785.09,1.0
691,4788.07,1.0
692,4789.32,1.0
693,4789.9,1.0
694,4790.67,1.0
695,4793.4,1.0
696,4795.82,1.0
697,4797.44,1.0
698,4797.97,1.0
699,4800.36,1.0
700,4802.41,1.0
701,4804.63,1.0
702,4805.22,1.0
703,4808.24,1.0
704,4810.69,1.0
705,4812.96,1.0
706,4813.28,1.0
707,4813.77,1.0
708,4814.5,1.0
709,4818.0,1.0
710,4819.08,1.0
711,4821.36,1.0
712,4822.37,1.0
713,4825.61,1.0
714,4828.19,1.0
715,4829.41,1.0
716,4830.02,1.0
717,4832.56,1.0
718,4833.98,1.0
719,4835.92,1.0
720,4835.34,1.0
721,4835.35,1.0
722,4837.84,1.0
723,4840.76,1.0
724,4842.44,1.0
725,4843.37,1.0
726,4845.67,1.0
727,4848.78,1.0
728,4850.63,1.0
729,4851.39,1.0
730,4853.44,1.0
731,4856.37,1.0
732,4859.02,1.0
733,4860.26,1.0
734,4861.15,1.0
735,4862.24,1.0
736,4865.49,1.0
737,4867.06,1.0
738,4868.12,1.0
739,4871.43,1.0
740,4873.67,1.0
741,4876.42,1.0
742,4877.64,1.0
743,4879.33,1.0
744,4882.53,1.0
745,4884.22,1.0
746,4886.94,1.0
747,4886.91,1.0
748,4888.51,1.0
749,4890.19,1.0
750,4892.45,1.0
751,4894.46,1.0
752,4897.57,1.0
753,4899.06,1.0
754,4901.28,1.0
755,4903.7,1.0
756,4904.24,1.0
757,4905.59,1.0
758,4908.52,1.0
759,4910.5,1.0
760,4911.21,1.0
761,4911.92,1.0
762,4913.32,1.0
763,4915.88,1.0
764,4916.22,1.0
765,4918.28,1.0
766,4919.13,1.0
767,4920.89,1.0
768,4922.94,1.0
769,4924.55,1.0
770,4927.2,1.0
771,4928.59,1.0
772,4930.25,1.0
773,4932.47,1.0
774,4933.33,1.0
775,4934.15,1.0
776,4936.52,1.0
777,4939.41,1.0
778,4942.45,1.0
779,4945.17,1.0
780,4945.27,1.0
781,4948.08,1.0
782,4951.42,1.0
783,4953.33,1.0
784,4955.54,1.0
785,4955.13,1.0
786,4957.64,1.0
787,4959.62,1.0
788,4960.7,1.0
789,4962.33,1.0
790,4964.2,1.0
791,4966.95,1.0
792,4967.99,1.0
793,4969.55,1.0
794,4971.03,1.0
795,4973.63,1.0
796,4976.93,1.0
797,4978.28,1.0
798,4979.55,1.0
799,4979.95,1.0
800,4982.17,1.0
801,4984.74,1.0
802,4985.97,1.0
803,4987.23,1.0
804,4989.12,1.0
805,4990.78,1.0
806,4992.26,1.0
807,4993.9,1.0
808,4994.84,1.0
809,4997.47,1.0
810,4999.96,1.0
811,5000.94,1.0
812,5001.93,1.0
813,5003.12,1.0
814,5004.88,1.0
815,5005.8,1.0
816,5006.79,1.0
817,5007.63,1.0
818,5009.25,1.0
819,5011.48,1.0
820,5012.72,1.0
821,5013.19,1.0
822,5015.22,1.0
823,5017.67,1.0
824,5020.58,1.0
825,5022.08,1.0
826,5024.18,1.0
827,5025.32,1.0
828,5028.39,1.0
829,5029.4,1.0
830,5029.93,1.0
831,5031.65,1.0
832,5033.25,1.0
833,5035.68,1.0
834,5037.4,1.0
835,5038.5,1.0
836,5041.08,1.0
837,5042.77,1.0
838,5041.92,1.0
839,5042.87,1.0
840,5043.14,1.0
841,5045.5,1.0
842,5048.55,1.0
843,5050.52,1.0
844,5050.77,1.0
845,5051.89,1.0
846,5054.03,1.0
847,5057.55,1.0
848,5058.94,1.0
849,5060.43,1.0
850,5061.28,1.0
851,5064.26,1.0
852,5066.42,1.0
853,5067.34,1.0
854,5067.99,1.0
855,5071.09,1.0
856,5072.81,1.0
857,5073.52,1.0
858,5075.24,1.0
859,5076.87,1.0
860,5079.49,1.0
861,5081.61,1.0
862,5082.87,1.0
863,5085.48,1.0
864,5086.48,1.0
865,5088.31,1.0
866,5089.04,1.0
867,5089.84,1.0
868,5092.12,1.0
869,5094.58,1.0
870,5095.25,1.0
871,5096.5,1.0
872,5097.02,1.0
873,5098.89,1.0
874,5100.82,1.0
875,5102.83,1.0
876,5104.01,1.0
877,5106.57,1.0
878,5107.56,1.0
879,5108.79,1.0
880,5108.91,1.0
881,5111.51,1.0
882,5114.09,1.0
883,5116.05,1.0
884,5117.13,1.0
885,5117.27,1.0
886,5119.86,1.0
887,5122.57,1.0
888,5123.85,1.0
889,5124.34,1.0
890,5125.5,1.0
891,5126.97,1.0
892,5129.9,1.0
893,5131.69,1.0
894,5132.56,1.0
895,5134.0,1.0
896,5135.34,1.0
897,5136.14,1.0
898,5136.51,1.0
899,5138.11,1.0
900,5139.34,1.0
901,5141.25,1.0
902,5142.43,1.0
903,5143.54,1.0
904,5145.6,1.0
905,5145.92,1.0
906,5147.08,1.0
907,5148.22,1.0
908,5150.15,1.0
909,5151.57,1.0
910,5153.19,1.0
911,5154.64,1.0
912,5155.53,1.0
913,5157.06,1.0
914,5157.49,1.0
915,5158.15,1.0
916,5159.72,1.0
917,5161.02,1.0
918,5163.67,1.0
919,5165.41,1.0
920,5166.47,1.0
921,5167.85,1.0
922,5169.3,1.0
923,5170.77,1.0
924,5172.87,1.0
925,5173.48,1.0
926,5174.53,1.0
927,5176.19,1.0
928,5178.09,1.0
929,5180.15,1.0
930,5181.11,1.0
931,5181.68,1.0
932,5184.19,1.0
933,5186.46,1.0
934,5187.96,1.0
935,5189.99,1.0
936,5191.32,1.0
937,5193.74,1.0
938,5194.78,1.0
939,5195.07,1.0
940,5196.65,1.0
941,5197.82,1.0
942,5201.06,1.0
943,5203.36,1.0
944,5204.29,1.0
945,5205.35,1.0
946,5207.85,1.0
947,5209.51,1.0
948,5211.28,1.0
949,5213.12,1.0
950,5214.18,1.0
951,5214.59,1.0
952,5215.14,1.0
953,5216.11,1.0
954,5218.26,1.0
955,5219.17,1.0
956,5221.08,1.0
957,5223.09,1.0
958,5224.21,1.0
959,5226.65,1.0
960,5228.81,1.0
961,5230.44,1.0
962,5231.68,1.0
963,5232.78,1.0
964,5234.63,1.0
965,5236.84,1.0
966,5238.15,1.0
967,5238.86,1.0
968,5241.02,1.0
969,5241.73,1.0
970,5242.97,1.0
971,5246.2,1.0
972,5246.55,1.0
973,5248.98,1.0
974,5250.36,1.0
975,5252.02,1.0
976,5253.22,1.0
977,5255.76,1.0
978,5257.37,1.0
979,5258.31,1.0
980,5259.35,1.0
981,5259.52,1.0
982,5262.69,1.0
983,5263.94,1.0
984,5265.2,1.0
985,5265.93,1.0
986,5268.71,1.0
987,5270.9,1.0
988,5272.57,1.0
989,5273.77,1.0
990,5274.04,1.0
991,5276.19,1.0
992,5278.79,1.0
993,5279.4,1.0
994,5279.94,1.0
995,5282.66,1.0
996,5284.76,1.0
997,5286.73,1.0
998,5287.52,1.0
999,5289.35,1.0
1000,5291.03,1.0
1001,5293.98,1.0
1002,5294.5,1.0
1003,5295.83,1.0
1004,5297.29,1.0
1005,5298.63,1.0
1006,5301.48,1.0
1007,5302.32,1.0
1008,5303.54,1.0
1009,5303.95,1.0
1010,5305.13,1.0
1011,5307.04,1.0
1012,5308.0,1.0
1013,5309.34,1.0
1014,5309.56,1.0
1015,5313.13,1.0
1016,5314.28,1.0
1017,5316.26,1.0
1018,5316.86,1.0
1019,5319.47,1.0
1020,5322.07,1.0
1021,5323.14,1.0
1022,5324.07,1.0
1023,5327.51,1.0
1024,5328.79,1.0
1025,5330.07,1.0
1026,5332.51,1.0
1027,5334.12,1.0
1028,5336.84,1.0
1029,5338.55,1.0
1030,5339.69,1.0
1031,5342.43,1.0
1032,5344.55,1.0
1033,5345.32,1.0
1034,5345.94,1.0
1035,5345.81,1.0
1036,5350.25,1.0
1037,5352.44,1.0
1038,5352.77,1.0
1039,5354.53,1.0
1040,5355.69,1.0
1041,5359.43,1.0
1042,5361.22,1.0
1043,5362.79,1.0
1044,5362.74,1.0
1045,5364.55,1.0
1046,5367.93,1.0
1047,5367.95,1.0
1048,5368.75,1.0
1049,5367.85,1.0
1050,5371.88,1.0
1051,5373.24,1.0
1052,5373.84,1.0
1053,5374.87,1.0
1054,5377.33,1.0
1055,5381.05,1.0
1056,5382.18,1.0
1057,5382.37,1.0
1058,5383.52,1.0
1059,5385.87,1.0
1060,5386.53,1.0
1061,5387.37,1.0
1062,5387.7,1.0
1063,5389.44,1.0
1064,5392.79,1.0
1065,5394.58,1.0
1066,5395.32,1.0
1067,5395.61,1.0
1068,5397.61,1.0
1069,5401.86,1.0
1070,5403.08,1.0
1071,5404.56,1.0
1072,5404.89,1.0
1073,5408.3,1.0
1074,5411.37,1.0
1075,5411.24,1.0
1076,5410.83,1.0
1077,5412.17,1.0
1078,5415.85,1.0
1079,5418.25,1.0
1080,5418.11,1.0
1081,5419.42,1.0
1082,5421.61,1.0
1083,5426.0,1.0
1084,5426.25,1.0
1085,5425.9,1.0
1086,5427.25,1.0
1087,5429.44,1.0
1088,5432.65,1.0
1089,5432.8,1.0
1090,5431.99,1.0
1091,5433.57,1.0
1092,5436.62,1.0
1093,5440.35,1.0
1094,5439.28,1.0
1095,5439.9,1.0
1096,5441.65,1.0
1097,5445.03,1.0
1098,5447.62,1.0
1099,5447.13,1.0
1100,5447.9,1.0
1101,5449.62,1.0
1102,5453.65,1.0
1103,5454.92,1.0
1104,5455.0,1.0
1105,5455.12,1.0
1106,5455.97,1.0
1107,5461.65,1.0
1108,5461.06,1.0
1109,5461.66,1.0
1110,5463.41,1.0
1111,5466.22,1.0
1112,5469.12,1.0
1113,5469.51,1.0
1114,5469.5,1.0
1115,5470.59,1.0
1116,5473.08,1.0
1117,5474.81,1.0
1118,5475.85,1.0
1119,5476.26,1.0
1120,5477.35,1.0
1121,5482.24,1.0
1122,5483.67,1.0
1123,5483.91,1.0
1124,5485.34,1.0
1125,5487.01,1.0
1126,5490.71,1.0
1127,5490.62,1.0
1128,5490.88,1.0
1129,5490.88,1.0
1130,5491.91,1.0
1131,5494.25,1.0
1132,5494.18,1.0
1133,5494.78,1.0
1134,5496.32,1.0
1135,5499.93,1.0
1136,5502.51,1.0
1137,5503.45,1.0
1138,5503.63,1.0
1139,5504.57,1.0
1140,5508.73,1.0
1141,5509.68,1.0
1142,5510.96,1.0
1143,5511.35,1.0
1144,5512.46,1.0
1145,5514.39,1.0
1146,5515.92,1.0
1147,5517.78,1.0
1148,5517.9,1.0
1149,5520.58,1.0
1150,5524.15,1.0
1151,5526.39,1.0
1152,5527.39,1.0
1153,5527.06,1.0
1154,5529.65,1.0
1155,5531.94,1.0
1156,5531.49,1.0
1157,5532.33,1.0
1158,5532.54,1.0
1159,5536.47,1.0
1160,5537.14,1.0
1161,5537.83,1.0
1162,5538.72,1.0
1163,5540.39,1.0
1164,5543.26,1.0
1165,5546.06,1.0
1166,5547.56,1.0
1167,5547.62,1.0
1168,5549.9,1.0
1169,5553.18,1.0
1170,5554.2,1.0
1171,5554.23,1.0
1172,5553.77,1.0
1173,5557.86,1.0
1174,5559.37,1.0
1175,5561.12,1.0
1176,5560.8,1.0
